#key	name	year	genre	developer	players
1943	1943 : The Battle Of Midway	1987	Shoot'em Up / Vertical/Shoot'em Up	Capcom	1-2
arkanoid	Arkanoid	1986	Action/Action / Breakout games	Taito	1-2
asteroid	Asteroids	1979	Shoot'em Up	Atari	1-2
bublbobl	Bubble Bobble	1986	Platform/Platform / Run & Jump	Taito	1-2
centiped	Centipede	1981	Shooter / Space Invaders Like/Shooter	Atari	1-2
contra	Contra	1987	Shooter/Shooter / Run and Gun	Konami	1-2
dariusg	Darius Gaiden : Silver Hawk	1994	Shoot'em Up / Horizontal/Shoot'em Up	Taito	1-2
defender	Defender	1981	Shoot'em Up / Horizontal/Shoot'em Up	Williams	1-2
digdug	Dig Dug	1982	Action / Labyrinth/Action	Namco	1-2
dkong	Donkey Kong	1981	Platform/Platform / Run & Jump	Nintendo	1
dkongjr	Donkey Kong Junior	1982	Platform/Platform / Run & Jump	Nintendo	1-2
ffight	Final Fight	1989	Beat'em Up	Capcom	1-2
frogger	Frogger	1981	Platform	Konami	1-2
galaxian	Galaxian	1979	Shooter / Space Invaders Like/Shooter	Namco	1-2
gng	Ghosts'n Goblins	1985	Platform	Capcom	1
gradius	Nemesis	1985	Shoot'em Up / Horizontal/Shoot'em Up	Konami	1-2
hangon	Hang-on	1985	Racing, Driving/Motorcycle race TPV	SEGA	1
joust	Joust	1982	Platform/Platform / Run & Jump	Williams	1-2
kof98	The King of Fighters '98 : The Slugfest	1998	Fighting/Fighting / Versus	SNK	1-2
metalb	Metal Black	1991	Shoot'em Up / Horizontal/Shoot'em Up	Taito	1-2
missile	Missile Command	1980	Shooter/Shooter / Missile Command Like	Atari	1-2
mslug	Metal Slug : Super Vehicle-001	1996	Shooter / Run and Gun/Shooter/Platform/Platform / Shooter Scrolling	Nazca	1-2
mslug2	Metal Slug 2 : Super Vehicle-001/II	1998	Shooter / Run and Gun/Shooter/Platform/Platform / Shooter Scrolling	SNK	1-2
mspacman	Ms. Pac-Man	1981	Action/Action / Labyrinth	Coleco Industries	1-2
outrun	Out Run	1986	Racing, Driving/Racing TPV	SEGA	1
pacman	Pac-Man	1980	Action / Labyrinth/Thinking/Action	Namco	1-2
qbert	Q*bert	1982	Platform/Platform / Run & Jump/Puzzle	D. Gottlieb & Co.	1-2
raiden	Raiden	1990	Shoot'em Up / Vertical/Shoot'em Up	Seibu Kaihatsu	1-2
rainbow	Rainbow Islands	1987	Platform/Platform / Run & Jump	Taito	1-2
robotron	Robotron: 2084	1982	Shooter	Vid Kidz	1-2
rtype	R-Type	1987	Shoot'em Up / Horizontal/Shoot'em Up	Irem	1-2
samsho2	Samurai Shodown II	1994	Fighting / Versus/Fighting	SNK	1-2
sf2	Street Fighter II : The World Warrior	1991	Fighting / Versus/Fighting	Capcom	1-2
sf2ce	Street Fighter II' : Champion Edition	1992	Fighting/Fighting / Versus	Capcom	1-2
simpsons	The Simpsons	1991	Beat'em Up/Fighting / 2.5D/Fighting	Konami	1-4
ssriders	Sunset Riders	1991	Shooter / Run and Gun/Shooter/Shooter / Horizontal/Platform/Platform / Shooter Scrolling	Konami	1-4
tetris	Tetris	1988	Puzzle / Fall/Puzzle	SEGA	1-2
tmnt	Teenage Mutant Ninja Turtles	1989	Beat'em Up	Konami	1-4
xevious	Xevious	1982	Shoot'em Up / Vertical/Shoot'em Up	Namco	1-2
