#name	crc	size	key
pacman			pacman
mspacman			mspacman
galaxian			galaxian
frogger			frogger
dkong			dkong
dkongjr			dkongjr
defender			defender
joust			joust
robotron			robotron
asteroid			asteroid
centiped			centiped
missile			missile
tetris			tetris
qbert			qbert
digdug			digdug
xevious			xevious
rtype			rtype
gradius			gradius
contra			contra
tmnt			tmnt
simpsons			simpsons
ssriders			ssriders
mslug			mslug
mslug2			mslug2
kof98			kof98
samsho2			samsho2
sf2			sf2
sf2ce			sf2ce
ffight			ffight
1943			1943
gng			gng
outrun			outrun
hangon			hangon
bublbobl			bublbobl
rainbow			rainbow
arkanoid			arkanoid
raiden			raiden
dariusg			dariusg
metalb			metalb
