#key	synopsis
1943	Das Spiel spielt im pazifischen Theater des Zweiten Weltkriegs vor der Küste des Midway Atolls. Das Ziel ist es, die japanische Luftflotte anzugreifen, die den amerikanischen Flugzeugträger der Spieler bombardiert hat, alle japanischen Luft- und Seestreitkräfte zu verfolgen, durch die 16 Spielebenen zu fliegen, zum japanischen Schlachtschiff Yamato zu gelangen und sie zu zerstören. 11 Levels bestehen aus einer Luft-See-Schlacht (mit einem riesigen Schlachtschiff oder einem Flugzeugträger als End-Level-Boss), während 5 Levels aus einem Luftkampf gegen ein Geschwader japanischer Bomber und einen Mutterbomber bestehen, der benötigt wird zerstört sein.
arkanoid	ARKANOID Plus! ist die rundum erneuerte Version des Arcade-Klassikers. Mit Hilfe eines Raumschiffs namens VAUS dirigiert der Spieler einen Energieball über das Spielfeld, um farbige Blöcke zu zerstören. Das Spiel enthält neue Modi und Einstellungen, die die Spielerfahrung drastisch verändern: Der ?Arcade?-Modus besteht aus 61 Runden, die in linke und rechte Versionen aufgeteilt sind und mit zwei Endgegnern in der letzten Runde aufwarten. Im ?Duell? können Spieler entweder gegen einen Freund oder den Computer antreten. Im gnadenlos nervenaufreibenden ?Zeit?-Modus müssen die Runden innerhalb einer vorgegebenen Zeit absolviert werden. Raffinierte Unterschiede zwischen den Spielregeln und etliche aufregende Gegenstände sorgen für viele Stunden unschlagbaren Spielspaß!
asteroid	Der Spieler steuert ein Raumschiff, das in der Draufsicht dargestellt und mit Asteroidenfeldern und fliegenden Untertassen konfrontiert wird. Ziel ist es, so lange wie möglich zu überleben, indem man Asteroiden und Untertassen zerstört, um Punkte zu sammeln. Der Spielbereich wird vollständig auf dem Bildschirm dargestellt; Wenn ein Element den Bildschirmrahmen verlässt, erscheint es auf der gegenüberliegenden Seite wieder (das Gleiche gilt für das Schiff des Spielers). Wenn ein Asteroid von einem Schuss getroffen wird, spaltet er sich in zwei mittelgroße Blöcke, die wiederum in zwei kleinere Blöcke geteilt werden können, die schließlich zerstört werden können. Das ursprüngliche Programm kann jedoch nur 26 Asteroiden gleichzeitig auf dem Bildschirm anzeigen (darüber hinaus teilen sich die Asteroiden nicht mehr und verkleinern sich einfach). Sobald alle Asteroiden zerstört wurden, geht der Spieler zum nächsten Level über: Die Anzahl der zu Beginn des Levels vorhandenen Asteroiden variiert zwischen vier (für den 1.) und elf (für den 5. und alle folgenden). Die Anzahl der durch die Zerstörung eines Elements verdienten Punkte hängt von seiner Größe ab. Fliegende Untertassen gibt es in zwei Größen: Die größte kann feuern.
bublbobl	Bubble Bobble ist die Geschichte zweier Menschen, Bub und Bob, die in die mysteriöse Monsterhöhle schlendern und sich auf magische Weise in Drachen verwandeln. Die einzige Möglichkeit, sich zurück zu verwandeln, besteht darin, das Ende der Höhle zu erreichen... Bubble Bobble ist ein Plattformspiel, bei dem jedes Level ein Bildschirm ist. Alle Feinde müssen in einem Level besiegt werden, um zum nächsten zu gelangen. Mit einem Spieler, der Bub kontrolliert und dem anderen, der Bob kontrolliert, kann der Spieler springen und Gegenstände für Punkte (wie Obst) sammeln. Die wahre Kraft, die Bub und Bob haben, ist jedoch die Fähigkeit, Blasen zu blasen. Diese Blasen können als Plattformen dienen, auf die man springen kann, oder man kann Feinde in ihnen fangen. Auf Feinde, die in einer Blase gefangen sind, muss man springen, damit diese zu Früchten werden. Außerdem schweben manchmal Power-Ups in Blasen. Dazu gehören Blitze, die Feinde horizontal treffen, und Wasser, das Spieler und Feinde direkt über Plattformen nach unten spült. Wenn Sie zu lange brauchen, um ein Level zu beenden, wird Baron Von Blubba gerufen, der auf dem Bildschirm herumschwebt und versucht, den Spieler zu zerstören.
contra	In Contra steuert der Spieler eines von zwei bewaffneten Militärkommandos namens Bill und Lance, die auf die Mission geschickt werden, eine Terroristengruppe namens Red Falcon Organization zu neutralisieren, die die Erde übernehmen will. Die Hauptfigur ist mit einem Gewehr mit unbegrenzter Munitionsmenge ausgestattet. Der Spieler kann außerdem in acht Richtungen springen, sich bewegen und schießen sowie sich beim Schießen gleichzeitig bewegen oder springen. Ein einzelner Treffer durch einen Feind, eine Kugel oder eine andere Gefahr tötet den Spielercharakter sofort.
dariusg	In diesem Spiel, dem dritten Teil der Darius-Serie, fliegt der Spieler ein verziertes Kampfflugzeug namens Silver Hawk. Das Schiff ist mit zwei Waffen ausgestattet: Raketen (vorwärts feuernde Standardkanone) und Bomben (fallen aus dem Boden des Schiffes). Die Silver Hawk ist außerdem mit dem 'Arm' (Panzerung) ausgestattet, einem grünen Energieschild, der gegnerische Angriffe absorbieren kann, ohne dem Schiff zu schaden. Einige Feinde lassen Tafeln zurück, die man einsammeln kann, um seine Schüsse, Raketen oder Schilde zu verstärken. Die Grafik und der Sound sind besser als in den vorherigen Darius-Spielen, und das Spiel verwendet viele beeindruckende visuelle Effekte; zum Beispiel verzieht sich der Silver Hawk in den Stufen der vierten Ebene dramatisch und beginnt zu Beginn der Stufen der sechsten Ebene beim Wiedereintritt zu brennen. Die Endgegner sind riesig und weitaus komplexer als in den Vorgängerspielen. Jeder von ihnen verfügt über mehrere Angriffsmuster und explodiert mit starken Verformungs- und Verdrehungseffekten, wenn er besiegt wird.
defender	Defender ist ein legendäres Side-Scrolling-Shoot-Em-Up – das erste seiner Art – bei dem das Ziel darin besteht, ein laserfeuerndes Raumschiff zu steuern und auf der Planetenoberfläche gefangene Humanoide vor einem Schwarm außerirdischer Entführer zu schützen. Ein Langstreckenscanner am oberen Bildschirmrand zeigt die Positionen der angreifenden Humanoiden und Außerirdischen. Die ideale Strategie besteht darin, die außerirdischen Schiffe abzuschießen, bevor sie die Humanoiden erreichen. Wenn ein Humanoid gefangen wird, kann der außerirdische Entführer zerstört werden, aber der Spieler muss dann den fallenden Humanoiden auffangen und ihn in die Sicherheit der Planetenoberfläche zurückbringen, bevor er in den Tod stürzt. Wenn der Außerirdische sein Opfer an den oberen Bildschirmrand bringt, mutiert der Humanoide und wird ein dauerhafter Teil des Außerirdischen, der ihn gefangen hat.
digdug	Dig Dug wurde als Arcade Spiel 1982 von Namco veröffentlicht. Das beliebte Spiel mit einfachen Konzept wurde auf viele Konsolen und Heimcomputer (z. B. C64) portiert. Dig Dugs Spielziel ist es, höhlenbewohnende Monster zu vernichten. Es gibt zwei Gegner: Pooka und Fygar Der Spieler steuert einen tunnelgrabenden Bergmann, der sein Leben lässt, wenn er von einem Monster erwischt, von Fygars Feuer verbrannt oder von einem herabfallenden Stein erschlagen wird. Man muss viermal mit dem Feuerknopf pumpen, um ein Monster platzen zu lassen. Halb aufgeblasene Monster erholen sich nach einigen Sekunden wieder, sind bis dahin aber gelähmt. Das Spiel läuft in einer Schleife. Der jeweils letzte Feind versucht an der Erdoberfläche links aus dem Bild zu laufen. Der Level wird durch Blumen in der rechten oberen Ecke repräsentiert. In jedem Folgelevel steigen Anzahl und Geschwindigkeit der Gegner
dkong	Donkey Kong ist der Begründer des Jump-'n'-Run-Genres und zählt zu den beliebtesten Arcade-Spielen der 1980er-Jahre. Außerdem prägte es die Geschichtenerzählung in Videospielen. Aus den Nachfolgespielen entwickelte sich die Super-Mario-Reihe.
dkongjr	Donkey Kong Junior ist ein Actionspiel, das 1982 von Nintendo veröffentlicht wurde. Bei seiner letzten Begegnung mit Mario wurde Donkey Kong gefangen genommen und in einen Käfig gesperrt. Daher macht sich Donkey Kong Jr. nun auf, ihn zu befreien! Mit cleveren Sprüngen und unter Einsatz der Kräne musst du versuchen, deinen Gegnern auszuweichen, dich nach oben vorzuarbeiten und Mario den Schlüssel zum Käfig abzuluchsen.
ffight	Final Fight kann von bis zu zwei Spielern gleichzeitig gespielt werden, wobei jeder Spieler einen anderen Charakter steuert. Bevor das Spiel beginnt, wählt der Spieler zwischen den drei Hauptcharakteren Guy, Cody und Haggar, die jeweils ihren eigenen Kampfstil und ihre eigenen Attribute haben. Guy ist der Schwächste, hat aber schnellere Angriffe, Haggar ist der Stärkste, aber auch der Langsamste, und Cody hat alle Attribute. Final Fight besteht aus sechs Etappen oder &quot;Runden&quot; sowie zwei Bonusrunden. Jede Runde findet in einem anderen Teil von Metro City statt, z. B. in den Slums und der U-Bahn, wobei die meisten Runden mehr als eine Ebene haben. Am Ende jeder Runde steht der Spieler einem Boss-Charakter gegenüber, der nur in dieser Runde vorkommt.
frogger	Frogger ist ein Spiel für ein oder zwei Spieler, bei dem die Spieler eine Reihe von Hindernissen überwinden müssen, um die grüne Amphibie sicher vom unteren Bildschirmrand zu einer der fünf Heimatbasen oben auf dem Bildschirm zu führen. Nachdem fünf Frösche sicher nach Hause geführt wurden, ist eine Runde beendet, danach beginnt die nächste Runde mit erhöhtem Schwierigkeitsgrad. Dazu gehören schneller fahrende Fahrzeuge auf dem Straßenabschnitt und neue, tödliche Gefahren auf dem Flussabschnitt, darunter Krokodile, Otter und Schlangen.
galaxian	Galaxian ist ein Shoot 'em Up, bei dem sich der Spieler am unteren Bildschirmrand befindet und ein Raumschiff namens &quot;Galaxip&quot; kontrolliert, mit dem Ziel, Aliens zu beseitigen. Die Feinde erscheinen in Formation oben auf dem Bildschirm mit zwei Begleitschiffen. Der Spieler bewegt sich nach links und rechts, um auf einen Außerirdischen zu zielen, schießt dann eine Kugel und der Außerirdische, den er trifft, wird getötet. Die Aliens werden als Drohnen, Abgesandte, Hornissen und Kommandanten klassifiziert, wobei diejenigen, die sich weiter oben auf dem Bildschirm befinden, bei Zerstörung mehr Punkte erzielen. In festgelegten Intervallen bewegt sich ein Feind auf dem Bildschirm auf Sie zu und eskortiert einen Bomber Der Galaxip kann nur einen einzigen Schuss auf dem Bildschirm abfeuern und muss warten, bis er die Spitze erreicht, bevor er einen weiteren abfeuern kann. Die Bewegung der Feinde nimmt mit fortschreitendem Spiel neben der Anzahl der Schüsse, die die Feinde abfeuern, zu.
gng	Ghosts 'n Goblins ist ein Plattformspiel, in dem der Spieler einen Ritter namens Sir Arthur steuert, der Zombies, Oger, Dämonen, Zyklopen, Drachen und andere Monster besiegen muss, um Prinzessin Prin Prin zu retten, die von Satan, dem König der dämonischen Welt, entführt wurde. Auf dem Weg dorthin kann der Spieler neue Waffen, Boni und zusätzliche Rüstungen aufheben, die bei dieser Aufgabe helfen können. Der Spieler kann nur zweimal getroffen werden, bevor er ein Leben verliert. Wenn der Spieler ein Leben verliert, kehrt er an den Anfang des Levels zurück, oder zur Hälfte, wenn er es so weit geschafft hat. Außerdem kann jedes Leben nur für eine bestimmte Zeitspanne andauern. Nachdem der Spieler den Endboss besiegt hat, muss er das gesamte Spiel auf einem höheren Schwierigkeitsgrad erneut spielen, um den wahren Endkampf zu erreichen.
gradius	Die Menschen von Gradius sind in Schwierigkeiten. Die ameoboiden Bacterions haben einen Großangriff auf den Planeten gestartet, und es liegt an dir, in die Schlacht zu fliegen und sie zu retten. Auf dem Weg dorthin können Sie Ihr Schiff mit Hypergeschwindigkeit, Kraftfeldern, Lasern, Raketen, Doppelstrahlkanonen und vielem mehr aufrüsten, um Sie im Kampf zu unterstützen. Gradius basiert auf dem Arcade-Spiel und ist ein seitlich scrollender Shooter. Wenn Sie bestimmte Feinde abschießen, bleibt ein Power-Up-Pod zurück, den Sie einsammeln können, um Ihrem Schiff mehr Power zu verleihen. In jedem Level gibt es eine Vielzahl von Gegnern, die versuchen, Sie aufzuhalten, mit einem großen Endgegner am Ende. Gameplay ist für einen Spieler oder zwei Spieler abwechselnd.
hangon	Hang-On ist ein großartiges Punkt-zu-Punkt-Rennspiel mit Sprite-Skalierung, bei dem der Spieler die Kontrolle über ein Superbike übernimmt und über fünf kurvenreiche Strecken rasen muss, wobei er den gegnerischen Fahrern ausweichen und versuchen muss, das Ende jeder Etappe vor Ablauf des Zeitlimits zu erreichen. Das Handling und die hervorragende Grafik von Hang-On waren einzigartig in den Spielhallen und revolutionierten, wie viele Yu Suzuki-Spiele, die folgten, das Rennspiel-Genre.
joust	Ein großartiger Klassiker, den es auch auf dem Atari ST gab. Du kontrollierst den Flügelschlag deines Reittiers, die Schwerkraft zieht dich immer wieder nach unten. Das Ziel besteht darin, Feinde durch Schläge zu eliminieren. Dies funktioniert, wenn Sie sich über einer größeren Höhe befinden. Sobald sie berührt werden, verwandeln sie sich in ein Ei, das Sie schnell zerdrücken müssen. Ein sehr altes Spiel, das aber durchaus Spaß macht und wegen des Gameplays einen Test wert ist.
kof98	The King of Fighters'98 ist ein 2D-Kampfspiel auf NEO GEO. Das fünfte Werk der Serie, das in Japan den Titel &quot;Dream Match Never Ends&quot; trägt, spielt in der Realität in einem Traum der Figur Shingo. Der Spieler hat die Wahl, 36 verschiedene Kämpfer zu verkörpern.
metalb	Die Erde wird von einer außerirdischen Rasse aus der &quot;Nemesis&quot;-Region des Weltraums angegriffen, und die menschliche Zivilisation steht nun am Rande des Zusammenbruchs. Die Invasoren haben Energiemoleküle - den Wissenschaftlern auf der Erde als &quot;Newalones&quot; bekannt - verwendet, um mächtige Strahlenwaffen zu schaffen, mit denen sie die Erde angreifen können. Als Antwort darauf haben die Wissenschaftler der Erde das Projekt &quot;Black Fly&quot; entwickelt, ein leistungsstarkes Raumschiff, das dieselbe Newalone-Molekültechnologie wie die außerirdischen Angreifer verwendet.
missile	Mysteriöse Eindringlinge greifen Ihre Städte an! Als Kommandant einer Raketenbasis liegt es in Ihrer Verantwortung, diese zu verteidigen. Die Feinde werden vom Himmel kommen und versuchen, die Städte am unteren Bildschirmrand zu zerstören. Sie müssen Raketen abfeuern, um den Bombenangriffen auszuweichen. Sie haben nur eine begrenzte Menge an Munition zur Verfügung, achten Sie also auf die Genauigkeit Ihrer Schüsse.
mslug	Anfang des 21. Jahrhunderts gibt es Krieg zwischen zwei Armeen: Die reguläre Armee der Weltregierung und Rebellen, die eine Militärdiktatur anstreben und von General Morden angeführt werden. 2026 wurden die sogenannten Metal Slugs (spezielle Panzer) entwickelt, die zwei Jahre später von den Rebellen gestohlen werden. Eine Spezialtruppe, genannt Peregrine Falcon, wird entsandt, um diese zu zerstören.
mslug2	Sie spielen als Marco, Eri, Tarma oder Fio in Metal Slug 2 auf Neo Geo. In den Levels können Sie mächtige Waffen sammeln und Fahrzeuge fahren, um den Weg zu General Morden zu blockieren. Das Rezept, das den Erfolg des Vorgängers ausmachte, wird hier aufgegriffen und verbessert.
mspacman	1982 wurde mit seiner Freundin, Frau Pac-Man, eine Fortsetzung des unglaublich beliebten Pac-Man vorgestellt. Diese Fortsetzung setzte das Gameplay &quot;Iss die Punkte / vermeide die Geister&quot; des Originalspiels fort, fügte jedoch neue Funktionen hinzu. Wie ihr Freund versucht Frau Pac-Man, vier verschiedene und herausfordernde Labyrinthe zu beseitigen, die mit Punkten und sich ständig bewegenden springenden Früchten gefüllt sind, während sie Inky, Blinky, Pinky und Sue aus dem Weg geht. Eine Berührung von einem dieser Geister bedeutet für Frau Pac-Man einen Verlust an Leben. Überlebe ein paar Runden des Spiels und der Spieler wird mit humorvollen Pausen verwöhnt, die die wachsende romantische Beziehung zwischen Pac-Man und Frau Pac-Man zeigen, die bis zur Ankunft von &quot;Junior&quot; führt.
outrun	Out Run, auch OutRun oder Outrun genannt, ist ein Arcade-Videospiel für Autorennen. Der Spieler steuert, von hinten gesehen, einen Fahrer am Steuer eines Ferrari Testarossa-Cabriolets, neben ihm sitzt eine Beifahrerin. Das Spiel beginnt in der Nähe von Coconut Beach und der Spieler muss vier Kontrollpunkte auf fünf Strecken mit Zeitlimit passieren.
pacman	PacMan ist eine Legende. Wer das ursprüngliche Spiel oder einen seiner Klone noch nie gespielt hat, muss in den letzten 20 Jahren auf einem anderen Planeten gelebt haben! Pac-Man, emblematischer Charakter des Spiels, ist ein gelber Kreis mit einem Mund; Er muss in einem Labyrinth, das von vier Geistern heimgesucht wird, Pac-Gums und Boni (in Form von Früchten und einem Schlüssel mit 5.000 Punkten) essen. Vier Pac-Gums befähigen Pac-Man, seine Feinde zu essen. Das ursprüngliche Spiel enthält 255 verschiedene Labyrinthe.
qbert	Q*bert ist ein isometrisches Plattformspiel mit Puzzle-Elementen, bei dem der Spieler den Titelprotagonisten aus der Perspektive einer dritten Person steuert. Q*bert beginnt jedes Spiel an der Spitze einer Würfelpyramide und bewegt sich, indem er diagonal von Würfel zu Würfel springt. Die Landung auf einem Würfel führt dazu, dass dieser seine Farbe ändert, und die Änderung jedes Würfels in die Zielfarbe ermöglicht es dem Spieler, mit der nächsten Stufe fortzufahren.
raiden	Im Jahr 2090 wurde die Erde plötzlich zum Ziel von gestörten Außerirdischen. Nach der Invasion wurde eine neue Waffe entwickelt, der Raiden Supersonic Attack Fighter, der auf dem zerstörten außerirdischen Fahrzeug basiert und der Hoffnung der Menschheit auf Überleben dient.
robotron	Robotron spielt im Jahr 2084 und ist ein Shmup, in dem sich die Robotrons, autonome Roboter mit überlegener Intelligenz, gegen ihre Schöpfer gewandt haben. Sie arbeiten daran, Menschen in Robotron zu verwandeln oder, falls dies fehlschlägt, die gesamte Rasse auszurotten. Ausgestattet mit einem multidirektionalen Laser müssen Sie sich vor den angreifenden Horden schützen und Männer, Frauen und Kinder bergen. Für jedes nacheinander gerettete Leben erhöht sich der Bonus um 1.000 Punkte bis maximal 5.000 Punkte. Wenn Sie ein Leben verlieren oder ein Level beginnen, geht der Bonus auf 1000 Punkte zurück.
rtype	R-TYPE – einer der beliebtesten Arcade-Shooter aller Zeiten in einer pixelgenauen Umsetzung! Zerstörte POW-Kapseln setzen eines von sechs verschiedenen Extra-Items zum Aufrüsten des eigenen R-9-Jägers frei. Die Force, ein hoch entwickeltes Angriffsmodul, ist ein unerlässliches Hilfsmittel im Kampf gegen die außerirdische Bedrohung: Geschickte Piloten koppeln sie von ihrem R-9 ab und schicken sie auf Gegnerjagd oder bestücken sie mit zahlreichen Extrawaffen wie Reflektor-Laser, Luft-Boden- oder Flugabwehrraketen. Ein längerer Druck auf den Feuerknopf aktiviert die Beam-Kanone: Wer es schafft, diese mächtige Wunderwaffe lange genug aufzuladen, entfesselt einen Energiestoß, in dem jeder Widerstand verglüht! Die unbestrittenen Höhepunkte dieses Meisterwerks sind die bildschirmfüllenden Endgegner und der legendäre dritte Level, in dem der Spieler allein gegen ein monströses Schlachtschiff bestehen muss.
samsho2	Eine der legendären Kampfspielserien von SNK ist wieder da! In Samurai Shodown II können Sie in eine der Rollen von 15 Kriegern schlüpfen, während Sie sich Ihren Weg durch das Land bahnen, um die bösen Mizuki zu besiegen! Haue, trete und schneide deine Gegner in zwei Hälften... tu, was immer nötig ist... lebe durch das Schwert und stirb durch seine Klinge.
sf2	GET READY TO RUMBLE! Aus der ganzen Welt kommen acht der wildesten Kämpfer, die die Welt je gesehen hat. Wählen Sie Ihren Champion, nehmen Sie Ihren Mut zusammen und bereiten Sie sich darauf vor, Ihre Gegner in einem Kampf mit bloßen Fäusten zu bekämpfen. Stellen Sie sich Ken und seinem vernichtenden &quot;Dragon Punch&quot;! Beobachten Sie, wie die Temperatur steigt, wenn Dhalsim Sie mit seiner mystischen Yogaflamme verbrennt! Hören Sie, wie Ihre Wirbelsäule knackt, wenn Zangief Sie mit seinem &quot;Spinning Pile Driver&quot; auf den Asphalt knallt! Halten Sie sich die Ohren zu, wenn Guile mit der unglaublichen Kraft des Sonic Boom die Schallmauer durchbricht! Vernichten Sie Ihre Konkurrenten und fordern Sie das Recht, Ihre Fähigkeiten gegen die knochenbrechende Kraft der Großmeister zu testen! Können Sie überleben? Kann das überhaupt jemand?
sf2ce	Aus allen Ecken der Welt kommen zwölf der härtesten Kämpfer, die je durch die Straßen gezogen sind. Wählen Sie Ihren Champion und betreten Sie die Arena als einer der acht ursprünglichen Herausforderer oder als einer der vier Großmeister! Schlagen Sie Ihren Gegner als Balrog und setzen Sie ihn außer Gefecht. Turme als Sagat über deine Beute und betäube sie mit deinem furchterregenden Tiger Shot. Schlitzen Sie Ihren Gegner mit der Klaue von Vega auf und schicken Sie ihn in Deckung. Oder jage deinen Feinden als M. Bison, dem größten Großmeister von allen, Angst ein!
simpsons	Ein Schmuckraub geht schief, Mr. Burns' Kumpel Smithers entführt Maggie und rennt davon. In diesem farbenfrohen, horizontalen Beat-Em-Up von Konami schlüpfen ein bis vier Spieler in die Rolle von Homer, Marge, Lisa oder Bart. Jeder Simpsons-Charakter hat seinen eigenen Angriffszug. Marge ist mit einem Staubsauger bewaffnet, Lisa hat ein Springseil, Bart hat sein Skateboard und Homer kämpft mit seinen Fäusten. Die Spieler müssen sich ihren Weg durch eine Vielzahl von Levels mit Simpsons-Thema – wie Springfield und Krustyland – kämpfen, gegen Schläger, Zombies, Betrunkene, Feuerwehrleute und mehrere Simpsons-Stammgäste. Viele Simpsons-Charaktere, die nicht als Feinde auftreten, haben „Cameo“-Szenen im Spiel (Otto arbeitet beispielsweise an einem Stand in Krustyland). Am Ende jeder Stufe erwartet die Spieler der archetypische „Boss“-Charakter. Das Spiel endet mit einer letzten Konfrontation mit dem bösen Mr. Burns in seiner luxuriösen Villa.
ssriders	Der Wilde Westen... voll von kriminellen Verbrechen. Sir Richard Rose, das meist verachtete Gesicht der Verbrecherbanden, hat genügend Macht um die Bergbauanlagen, Viehfarmen und die Handelsgemeinschaften zu kontrollieren und alles zu seinen Gunsten zu wenden. Mit dieser Macht, kann er sich buchstäblich den Wilden Westen kaufen und alles kontrollieren! Die Menschen brauchen Hilfe, sie sind verzweifelt. Und als die Dinge am finstersten aussahen, kamen 4 Männer in die Stadt geritten, die einen Pakt geschlossen haben: Sir Richard Rose niederzustrecken, um den Menschen im Wilden Westen ein sicheres und friedvolles Leben zu ermöglichen. Steve, Bob, Billy und Cormano sind die Sunset Riders und sie sind dabei die wildeste Schießerei zu führen, die der Wilde Westen je gesehen hat.
tetris	Tetris war in Japan ein sehr beliebtes Spiel. Taito arbeitet mit Sega zusammen, um unbeliebte Spiele wie „Master of Weapon“ oder „Rastan Saga 2“ auf Tetris (auf dem Taito B-System) umzustellen. Später produzierte Taito Segas Tetris auf dem Taito H-System.
