#key	synopsis
1943	El juego se ambienta en la Batalla de Midway dentro de la Segunda Guerra Mundial. A bordo de tu P-38, equipado con seis armas secretas, la meta es atacar a la fuerza aérea japonesa durante 16 niveles hasta derrotar al destructor japonés Yamato.
arkanoid	ARKANOID Plus! es una versión actualizada de este juegazo de arcade. Los jugadores deberán dirigir una bola de energía usando la nave VAUS y destruir los bloques de colores. El juego contiene nuevas modalidades y opciones que cambiarán radicalmente tu experiencia de juego. La modalidad Arcade consiste en 61 rondas que se dividen en las versiones de derecha e izquierda con dos tipos de jefes que aparecen en la última ronda. En la modalidad Versus los jugadores deberán enfrentarse a un amigo o a la inteligencia artificial. La Contrarreloj desafiará a los jugadores a que terminen cierto número de rondas en un límite de tiempo. ¡Sumérgete en la sutil diferencia entre las reglas por vidas y por barreras, en la gran cantidad de increíbles objetos y descubrirás que tienes diversión para horas y horas de juego!
asteroid	Asteroids es un clásico, de la era dorada de los videojuegos arcade. Tomamos el control de una nave en medio de un anillo de asteroides que debemos de esquivar e ir destruyendo con nuestro láser
bublbobl	Uno o dos jugadores asumen el papel de Bub y Bob, dos simpáticos dinosaurios que deben luchar a través de 100 niveles de pantalla única repletos de plataformas para rescatar a sus novias. Bub y Bob están armados sólo con la habilidad de hacer burbujas, en las que los muchos enemigos del juego pueden ser atrapados y eliminados. Las burbujas también pueden ser utilizadas como plataformas temporales, para ayudar a los dinosaurios a alcanzar áreas previamente inaccesibles de un nivel. Cualquier enemigo atrapado que no sea eliminado lo suficientemente rápido se volverá rojo y escapará de su prisión de burbujas. Estos enemigos enojados son mucho más rápidos que antes, lo que los hace más difíciles de matar. Los enemigos también se enfadan si los jugadores tardan demasiado en completar un nivel. Los enemigos derrotados se convierten en objetos de fruta de bonificación que se pueden recoger para obtener puntos.
centiped	Centipede es un shoot-em-up de orientación vertical en el que el objetivo es usar el &quot;Bug Blaster&quot; para disparar a los ciempiés que avanzan al fondo de la pantalla para acumular la mayor puntuación posible.
contra	En el año 2631, un meteorito cayó en el archipiélago Galuga, cerca de Nueva Zelanda, trayendo una forma de vida alienígena inactiva. Dos años más tarde, en 2633, una organización terrorista de origen alienígena llamada Blood Falcon (halcón sangriento) asume el mando de la isla como parte de sus planes de invadir la Tierra. Los soldados Bill Rizer y Lance Bean, de la unidad Contra, son enviados a la isla oceánica para detener la maléfica amenaza.
dariusg	En Darius Gaiden - Silver Hawk, el tercero de la secuela de la serie de Darius; el jugador vuela una ornamentada nave de combate llamada Silver Hawk. La nave está equipada con dos armas de ataque: Misil (cañón estándar de disparo frontal) y Bomba (que cae desde el fondo de la nave). El Halcón Plateado también está equipado con el &quot;Arm&quot; (armadura); un escudo de energía verde que puede absorber los ataques enemigos sin dañar la nave. Algunos enemigos dejan paneles detrás que pueden ser recogidos para potenciar tus disparos, misiles o escudo.
defender	Defender es un legendario shoot-em-up de desplazamiento lateral -el primero de su genero- en el que el objetivo es pilotar una nave espacial que dispara láser y proteger a los humanoides atrapados en la superficie del planeta de un enjambre de abductores extraterrestres. Un escáner de largo alcance en la parte superior de la pantalla muestra las posiciones de los humanoides y de los alienígenas atacantes. La estrategia ideal es derribar las naves alienígenas antes de que lleguen a los humanoides. Si un humanoide es capturado, el abductor alienígena puede ser destruido, pero el jugador debe entonces atrapar al humanoide que cae y devolverlo a la seguridad de la superficie del planeta antes de que caiga a su muerte. Si el alien se lleva a su víctima a la parte superior de la pantalla, el humanoide mutará, convirtiéndose en una parte permanente del alienígena que lo capturó.
digdug	Dig Dug es un juego de acción de pantalla única en el que el jugador debe cavar túneles horizontales y verticales para llegar y eliminar a los monstruos que viven en el subsuelo allí. Esto se logra ya sea inflando con una bomba de aire hasta que explotan, o por la caída de rocas sobre ellos.
dkong	Es un primitivo juego del género plataformas que se centra en controlar al personaje sobre una serie de plataformas mientras evita obstáculos. La historia no es muy compleja, pero funcionó en aquella época. El juego consiste en que Mario (en el juego, Jumpman) debe rescatar a una dama que había sido capturada por un enorme mono llamado Donkey Kong. Estos dos personajes se volvieron de los más famosos de Nintendo. Este juego fue el último esfuerzo de la compañía japonesa para penetrar con éxito en el mercado Norteamericano. Hiroshi Yamauchi, el presidente de Nintendo, asignó el diseño del juego a Shigeru Miyamoto. Basándose éste en múltiples inspiraciones, incluyendo Popeye y King Kong, Miyamoto creó los escenarios y diseñó el juego junto el jefe de sistemas de Nintendo, Gunpei Yokoi. Estos dos hombres crearon unos nuevos gráficos usando técnicas de caracterización, incluso escenas entre niveles para hacer avanzar la historia del juego, integrándola así en el mismo. A pesar de las dudas que surgieron por parte de miembros de Nintendo en América, Donkey Kong fue un gran éxito en Norteamérica y Japón. Nintendo autorizó a Coleco para que hiciese las versiones domésticas en diversas plataformas. Otras compañías se limitaron a hacer juegos con el mismo esquema para evitar pagar a Nintendo por su idea. Los personajes creados por Miyamoto aparecían en múltiples lugares, como cajas de cereales y dibujos animados. Universal City Studios denunció a Nintendo alegando que Donkey Kong violaba los derechos de autor de King Kong, pero tal demanda no prosperó.
