#key	synopsis
1943	La suite de 1942 fait de nouveau combattre le joueur au-dessus des nuages pendant la Seconde Guerre mondiale, cette fois dans une bataille intense au large des îles Midway. Les mises à jour du gameplay incluent une barre d'énergie, qui peut être épuisée en étant touché par des tirs entrants ou en utilisant une arme spéciale. La barre d'énergie peut être reconstituée en ramassant des bonus, tandis que les armes spéciales (foudre, cyclones et vagues) peuvent abattre tous les chasseurs à l'écran à ce moment-là.&quot;
arkanoid	Arkanoid est un jeu d'arcade développé par Taito en 1986. Il a développé les jeux de Casse-Briques (Breakout) d'Atari des années 1970 en ajoutant des power-ups, différents types de briques, une variété de niveaux de tableau, et une profondeur visuelle. Le titre fait référence à un &quot;vaisseau-mère&quot; condamné à partir duquel le vaisseau du joueur, le Vaus, s'échappe. Arkanoid a relancé le concept des jeux de Casse-briques, engendrant de nombreux clones et des jeux similaires pour ordinateurs personnels, même plus d'une décennie plus tard.
asteroid	Le joueur contrôle un vaisseau spatial, représenté en vue de dessus et confronté à des champs d'astéroïdes et des soucoupes volantes. Le but est de survivre le plus longtemps possible en détruisant les astéroïdes et les soucoupes pour engranger les points. L'aire de jeu est intégralement représenté à l'écran; lorsqu'un élément sort du cadre de l'écran, il réapparaît du côté opposé (idem pour le vaisseau du joueur) Lorsqu'un astéroïde est touché par un tir, il se divise en deux blocs de taille moyenne, lesquels peuvent à leur tour être divisés en deux plus petits blocs, lesquels peuvent enfin être détruits. Le programme original ne peut cependant afficher que 26 astéroïdes simultanément à l'écran (au-delà les astéroïdes ne se divisent donc plus et se contentent de réduire en taille). Une fois tous les astéroïdes détruits, le joueur passe au niveau suivant : le nombre d'astéroïdes présent au début du niveau varie de quatre (pour le 1er) à onze (pour le 5e et tous les suivants). Le nombre de points rapportés par la destruction d'un élément est dépendante de sa taille. Les soucoupes volantes sont de deux tailles : la plus imposante a la capacité de tirer.
bublbobl	Le jeu met en scène Bub et Bob, deux enfants transformés en dragons et dont les fiancées ont été enlevées par le Baron von Blubba. Bub, aidé de Bob en mode deux joueurs, doit parcourir les quelque 100 niveaux du jeu pour les délivrer. Chaque niveau se compose d'un écran fixe avec pour environnement un ensemble de plates-formes plus ou moins alambiquées. Des monstres évoluent dans ce décor et le but est de tous les éliminer sans se faire toucher. Les dragons ont le pouvoir de cracher des bulles qui emprisonnent les ennemis pendant quelques secondes ; ils n'ont ensuite plus qu'à faire éclater la bulle pour tuer le monstre et faire apparaître un objet qui vient gonfler le score. Il y a différents paramètres qui entrent progressivement en jeu, venant complexifier le challenge : au-delà d'une certaine limite de temps, les monstres accélèrent brutalement ; la durée de « capture » des bulles est variable et des courants d'air peuvent altérer leur trajectoire.
centiped	Jouer un exterminateur chargé de détruire les envahisseurs. À l'aide de votre arme, vous devez détruire les vagues de Centipèdes (mille-pattes) qui descendent vers vous du haut de l'écran. Des champignons sont éparpillés sur l'écran, et le Centipède descend d'une ligne chaque fois qu'il rencontre un champignon. Vous devez également éviter et détruire les araignées, les puces et les scorpions, et faites attention aux champignons empoisonnés qui pourraient faire descendre le Centipede en spirale à votre niveau. Détruisez le Centipède pour avancer à la prochaine vague...
contra	Dans Contra, le joueur contrôle l'un des deux commandos militaires armés nommés Bill et Lance, qui sont envoyés en mission pour neutraliser un groupe terroriste appelé l'Organisation du Faucon Rouge qui a l'intention de s'emparer de la Terre. Le personnage principal est équipé d'un fusil avec une quantité illimitée de munitions. Le joueur peut également sauter, se déplacer et tirer dans huit directions, ainsi que se déplacer ou sauter simultanément pendant le tir. Un seul coup d'un ennemi, d'une balle ou d'un autre danger tuera instantanément le personnage du joueur.
dariusg	Jeu génial, long et trop beau, les boss sont hyper détaillés (pour un jeu de 1994), les niveaux aussi, seul bémol, comme tous les jeux d'arcade: il est super dur mais il est si prenant qu'on fait toutes les missions (plus de 20 avec un boss à la clé de chaque niveau), on peut choisir le chemin à prendre (l'interface de choix de niveau rappelle Lylat Wars (autre jeu culte sur N64)) : bref téléchargez ce jeu, c'est une vraie bombe.
defender	Defender est un des premiers jeux de shoot'em up tel qu'on les connaît. Malgré ses 20 ans et ses sons un peu énervants, Defender reste toujours aussi agréable à jouer, notamment grâce à l'animation qui donne une agréable impression de vitesse lorsqu'on avance. La grande difficulté, à l'époque du jeu d'arcade, était de s'y retrouver dans les boutons qui entouraient le joystick. Cela rend le jeu assez difficile au début - l'espérance de vie du débutant est souvent très courte. La personnalisation des Entrées peut simplifier le maniement : par exemple, pour qui possède un joystick, il est préférable de mettre le gaz (thrust) en Axe-X + et -, et mettre l'Inverser en Bouton 1 à la place des gaz. La Bombe (Bouton 2) nettoie l'écran, comme il se doit.
digdug	Un Mythique de chez NAMCO !!! Vous êtes dans la peau d'un mineur qui doit construire des galeries souterraines afin d'éclater la faune environnante à l'aide d'une sorte de pompe à velo ou à coups d'éboulement de rocher .Un des nombreux jeux magiques de l'époque où l'on ne peut plus décrocher du joy une fois qu'on y a goûté .Partie fun garantie .
dkong	Donkey Kong est un jeu d'arcade emblématique où le joueur incarne Jumpman (futur Mario) et doit sauver Pauline des griffes du gorille Donkey Kong. Le jeu propose quatre stages distincts mêlant plates‑formes, échelles, sauts précis et obstacles variés comme les barils, boules de feu ou tapis roulants. Le joueur peut utiliser un marteau pour détruire les ennemis, collecter des objets bonus et viser le meilleur score. Avec sa difficulté progressive, ses niveaux emblématiques et son gameplay simple mais exigeant, Donkey Kong reste un classique majeur de l'arcade.
