#key	synopsis
1943	Il gioco è ambientato nel teatro del Pacifico della seconda guerra mondiale, al largo della costa dell'atollo di Midway. L'obiettivo è quello di attaccare la flotta aerea giapponese che ha bombardato la portaerei americana dei giocatori, inseguire tutte le forze aeree e marittime giapponesi, volare attraverso i 16 livelli di gioco, raggiungere la corazzata giapponese Yamato e distruggerla. 11 livelli consistono in una battaglia aria-mare (con un'enorme corazzata o una portaerei come boss di livello finale), mentre 5 livelli consistono in una battaglia aerea contro uno squadrone di bombardieri giapponesi e un bombardiere madre che ha bisogno essere distrutto.
arkanoid	Il concetto originale di Breakout prevede il controllo di un bastone nella parte inferiore dello schermo e il suo utilizzo per prendere e dirigere una palla in modo da colpire tutti i mattoni disposti nella parte superiore dello schermo. È stato impopolare per oltre un decennio, prima che Taito lo facesse rivivere con alcune nuove idee in questo gioco arcade. La trama del gioco ridefinisce il pipistrello come un'astronave Vaus, la palla come un fulmine di energia e i mattoni formano un muro misterioso che impedisce alla nave di progredire verso la salvezza.
bublbobl	Bubble Bobble è la storia di due umani, Bub e Bob, che vagano nella misteriosa grotta dei mostri e si trasformano magicamente in dinosauri. L'unico modo per tornare indietro è raggiungere la fine della caverna... Bubble Bobble è un gioco platform, con ogni livello a schermo singolo. I nemici devono essere eliminati da un livello per passare a quello successivo. Con un giocatore che controlla Bub e l'altro che controlla Bob, il giocatore può saltare e raccogliere oggetti per punti (come frutta). Il vero potere che Bub e Bob hanno, tuttavia, è la capacità di soffiare bolle. Queste bolle possono essere piattaforme su cui saltare o per intrappolare i nemici.
centiped	Centipede è uno sparatutto verticale in cui l'obiettivo è usare il &quot;Bug Blaster&quot; per sparare ai millepiedi che avanzano verso il fondo dello schermo e accumulare il punteggio più alto possibile.
contra	Nell'anno 2631, un meteorite cadde nell'arcipelago di Galuga, vicino alla Nuova Zelanda, portando con sé una forma di vita aliena dormiente. Due anni dopo, nel 2633, un'organizzazione terroristica aliena chiamata Blood Falcon conquista l'isola nell'ambito dei suoi piani per invadere la Terra. I soldati della Contra Bill Rizer e Lance Bean vengono inviati sull'isola oceanica per fermare la minaccia malvagia.
dariusg	In Darius Gaiden - Silver Hawk, il terzo del sequel della serie Darius; il giocatore pilota un velivolo da combattimento decorato chiamato Silver Hawk. L'imbarcazione è equipaggiata con due armi d'attacco: Missile (cannone standard a fuoco frontale) e Bomba (caduta dal fondo della nave). Il Silver Hawk è anche equipaggiato con il 'Arm' (armatura); Uno scudo di energia verde in grado di assorbire gli attacchi nemici senza danneggiare la nave. Alcuni nemici lasciano dietro di sé pannelli che possono essere raccolti per potenziare i colpi, i missili o lo scudo.
defender	Defender è un videogioco di tipo sparatutto a scorrimento orizzontale spaziale, sviluppato e prodotto da Williams Electronics e uscito in sala giochi nel 1981 (con copyright del 1980). Il gioco è stato realizzato da un team di persone a capo delle quali vi era Eugene Jarvis, programmatore anche di Robotron: 2084. Defender è il primo videogioco nel quale è stato introdotto il concetto di scorrimento orizzontale. Il giocatore comanda una astronave su un fondale a scorrimento orizzontale circolare e infinito dove deve cercare di evitare che i nemici alieni rapiscano gli umanoidi amici. I nemici sono di tipo Lander, Mutant, Baiter, Bomber, Pod e Swarmer. Attenzione perche' il laser della astronave può disintegrare anche gli umanoidi amici. Quando vengono rapiti dai Lander devono essere liberati e portati in salvo prima che si trasformino in Mutant. Quando tutte le astronavi nemiche sono state eliminate si ottiene un bonus che dipende dal numero degli umanoidi tratti in salvo, e si passa così a un nuovo livello. Non appena l'ultimo umanoide viene trasformato oppure ucciso, il pianeta esplode e tutti i Lander si trasformano in Mutant.
digdug	In Dig Dug, scatena una guerra sotterranea con il tuo fidato arpione! Dovrete sconfiggere il tenace Pooka e il feroce Fygar per passare al livello successivo. Fate esplodere i vostri nemici in modo che esplodano o fate cadere delle rocce su di loro! Otterrete punti per eliminarli o per raccogliere oggetti bonus. Questo gioco classico è sia un gioco d'azione arcade vecchia scuola che un gioco di strategia. Attirate i nemici dove volete e schiacciateli con le rocce!
dkong	Donkey Kong è un leggendario gioco platform arcade in cui il giocatore assume il ruolo di &quot;Jumpman&quot;, che in seguito sarebbe stato ribattezzato &quot;Mario&quot; e sarebbe diventato la mascotte di Nintendo e una leggenda del gioco. In questo gioco, deve farsi strada fino alla cima di ogni livello per salvare la sua amata Pauline; che è stata rapita dalla scimmia gigante, Donkey Kong.
dkongjr	Il destino ha ribaltato la situazione sull'inimitabile Donkey Kong. Dopo che Mario ha salvato la bella ragazza dalle grinfie di Donkey Kong, ha messo in cattività la scimmia dal cuore spezzato, rinchiudendola dietro sbarre d'acciaio. Mentre la frustrazione della reclusione fa infuriare Donkey Kong, Mario fa la guardia compiaciuta alla cella, tenendo in mano la ricercata chiave per la libertà. Ma aspetta! All'insaputa di Mario, Donkey Kong ha prodotto una prole: Donkey Kong Junior! Una scimmietta che sfida la morte, scaltra e astuta, che resiste a tutti i nemici per salvare papà Donkey Kong. Mentre la brigata di mascelle a scatto, uccelli mangiatori di scimmie e capsule energetiche di Mario lancia la sua offensiva, Junior li bombarda con una raffica di bombe alla frutta che mirano ad annientare ogni suo nemico.
