#system	key	reason
3DO	Jietai World (Japan)	manual, 2026-08-30
3DO	Theo the Dinosaur (USA) (Proto) (1996-01-30)	manual, 2026-08-30
ATARI5200	5200 Menu (USA) (Proto)	manual, 2026-08-31
ATARI5200	Atari PAM - Pete's Test (USA)	manual, 2026-08-31
ATARI5200	Atari PAM Diagnostics (USA) (v2.3)	manual, 2026-08-31
ATARI5200	Atari PAM System Test (USA) (v1.02)	manual, 2026-08-31
ATARI5200	Boogie (USA) (Demo)	manual, 2026-08-31
ATARI5200	Yellow Submarine (USA) (Demo)	manual, 2026-08-31
ATARI7800	Atari 7800 Development Card (USA)	manual, 2026-08-31
ATARI7800	Diagnostic Test Cartridge (USA)	manual, 2026-08-31
ATARI7800	High Score Cartridge (USA) (Proto)	manual, 2026-08-31
Arcade	4jokers	manual, 2026-08-31
Arcade	anoworld	manual, 2026-08-31
Arcade	baoqingt	manual, 2026-08-31
Arcade	bingogal	manual, 2026-08-31
Arcade	bootsctn	manual, 2026-08-31
Arcade	bparty	manual, 2026-08-31
Arcade	bubucar	manual, 2026-08-31
Arcade	cafebrk	manual, 2026-08-31
Arcade	cafedoll	manual, 2026-08-31
Arcade	cafepara	manual, 2026-08-31
Arcade	cane	manual, 2026-09-03
Arcade	cellage	manual, 2026-08-31
Arcade	changyu2	manual, 2026-08-31
Arcade	chariotc	manual, 2026-08-31
Arcade	clownmgc	manual, 2026-08-31
Arcade	cmast99	manual, 2026-08-31
Arcade	comg5107	manual, 2026-08-31
Arcade	cpoker2	manual, 2026-08-31
Arcade	cps1mult	manual, 2026-08-31
Arcade	cruisin5	manual, 2026-08-31
Arcade	crzybell	manual, 2026-08-31
Arcade	crzybug2	manual, 2026-08-31
Arcade	cuckoo	manual, 2026-08-31
Arcade	dddoor	manual, 2026-08-31
Arcade	ddrkara2	manual, 2026-08-31
Arcade	dkjfever	manual, 2026-08-31
Arcade	dokodemo	manual, 2026-08-31
Arcade	donghaer	manual, 2026-09-03
Arcade	dstbloom	manual, 2026-08-31
Arcade	eforsta5	manual, 2026-08-31
Arcade	eldorda5	manual, 2026-09-03
Arcade	feverch	manual, 2026-08-31
Arcade	fortfvr	manual, 2026-08-31
Arcade	frtgenie	manual, 2026-08-31
Arcade	gunwars	manual, 2026-09-03
Arcade	harikiri	manual, 2026-09-03
Arcade	honeypot	manual, 2026-08-31
Arcade	jackpot	manual, 2026-08-31
Arcade	jin	manual, 2026-09-03
Arcade	jkrmast	manual, 2026-08-31
Arcade	jumpjoey	manual, 2026-08-31
Arcade	kazaaan	manual, 2026-08-31
Arcade	kd2001	manual, 2026-08-31
Arcade	keroro	manual, 2026-08-31
Arcade	konotako	manual, 2026-08-31
Arcade	kookabuk	manual, 2026-08-31
Arcade	ldquiz4	manual, 2026-08-31
Arcade	locoloot	manual, 2026-08-31
Arcade	lonewolf	manual, 2026-08-31
Arcade	luckybar	manual, 2026-08-31
Arcade	luckylad	manual, 2026-08-31
Arcade	magicpop	manual, 2026-08-31
Arcade	magtcha5	manual, 2026-08-31
Arcade	majrjhdx	manual, 2026-08-31
Arcade	manpuku	manual, 2026-08-31
Arcade	masmario2	manual, 2026-08-31
Arcade	mbs2euro	manual, 2026-08-31
Arcade	metalmx	manual, 2026-09-03
Arcade	micon2	manual, 2026-08-31
Arcade	mirderby	manual, 2026-08-31
Arcade	mirworld	manual, 2026-08-31
Arcade	monmouse	manual, 2026-08-31
Arcade	mountmon	manual, 2026-08-31
Arcade	multidrw	manual, 2026-08-31
Arcade	mystgard	manual, 2026-08-31
Arcade	newtiger	manual, 2026-08-31
Arcade	npeurver	manual, 2026-08-31
Arcade	nppopeye	manual, 2026-08-31
Arcade	nprsp	manual, 2026-08-31
Arcade	one4all	manual, 2026-08-31
Arcade	ougonhai	manual, 2026-08-31
Arcade	paradar	manual, 2026-08-31
Arcade	pikkaric	manual, 2026-08-31
Arcade	pkrmast	manual, 2026-08-31
Arcade	plutus	manual, 2026-08-31
Arcade	pnchmn2	manual, 2026-09-03
Arcade	pokrwild	manual, 2026-08-31
Arcade	przfight	manual, 2026-08-31
Arcade	puzzleme	manual, 2026-08-31
Arcade	raceon	manual, 2026-09-03
Arcade	rascot	manual, 2026-09-03
Arcade	rascot2	manual, 2026-09-03
Arcade	satsf3d	manual, 2026-08-31
Arcade	sc2in1	manual, 2026-08-31
Arcade	sc4brix	manual, 2026-08-31
Arcade	shadfgtr	manual, 2026-09-03
Arcade	spetrix	manual, 2026-08-31
Arcade	squizchs	manual, 2026-08-31
Arcade	starzan	manual, 2026-08-31
Arcade	taiko2	manual, 2026-08-31
Arcade	taiko3	manual, 2026-08-31
Arcade	taiko4	manual, 2026-08-31
Arcade	taiko5	manual, 2026-08-31
Arcade	taiko6	manual, 2026-08-31
Arcade	tetfight	manual, 2026-09-03
Arcade	tourpgum	manual, 2026-08-31
Arcade	tvdenwad	manual, 2026-08-31
Arcade	unkkonmd	manual, 2026-08-31
Arcade	unksmk	manual, 2026-08-31
Arcade	unkzilec	manual, 2026-08-31
Arcade	venom	manual, 2026-08-31
Arcade	version4	manual, 2026-09-03
Arcade	wallc	manual, 2026-09-03
Arcade	wangmid2	manual, 2026-09-03
Arcade	wcombat	manual, 2026-09-03
Arcade	winner	manual, 2026-08-31
Arcade	wizways	manual, 2026-08-31
Arcade	wldgunsb	manual, 2026-08-31
Arcade	yattrmnp	manual, 2026-08-31
Arcade	zelos	manual, 2026-08-31
Atari2600	Color Bar Generator (USA)	manual, 2026-08-31
Atari2600	Colors (Europe) (Proto)	manual, 2026-08-31
Atari2600	Colours (USA, Europe) (Demo) (Atari Anthology)	manual, 2026-08-31
Atari2600	FM Sound Tool (Unknown) (Proto) [b]	manual, 2026-08-31
Atari2600	Frog Demo (Europe) (Demo)	manual, 2026-08-31
Atari2600	Morse Code Tutor (USA)	manual, 2026-08-31
Atari2600	Sonar (Unknown) (Proto)	manual, 2026-09-03
Atari2600	Sound (USA, Europe) (Demo) (Atari Anthology)	manual, 2026-08-31
Atari2600	Zoo Keeper Sounds (USA) (Proto)	manual, 2026-08-31
AtariLynx	Cabal (USA) (Demo)	manual, 2026-08-31
AtariLynx	Geoduel (USA) (Demo)	manual, 2026-08-31
AtariLynx	Lynx II Production Test Program (World) (v0.01)	manual, 2026-08-31
AtariLynx	Ninja Nerd (USA) (Demo)	manual, 2026-08-31
AtariLynx	Spacewar (USA) (Demo)	manual, 2026-08-31
CD-i	Digital Video Demonstration Disc (USA)	manual, 2026-08-30
CD-i	Macchina delle Favole, La - Racconti Spaziali (Italy)	manual, 2026-08-30
CD-i	Macchina delle Favole, La - Racconti di Magia (Italy)	manual, 2026-08-30
Coleco	Adam's Musicbox Demo (USA) (Demo)	manual, 2026-08-31
Coleco	ColecoVision Monitor Test (USA, Europe)	manual, 2026-08-31
Coleco	Final Test Cartridge (USA)	manual, 2026-08-31
Coleco	Super Controller Tester (USA)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'D167B23' no. 1 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'D167B23' no. 2 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'D167B23' no. 3 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'D167B23' no. 4 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'D167B23' no. 5 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'D167B23' no. 6 (Japan)	manual, 2026-08-31
FDS	Sunsoft Dev Disk Lot - 'E180L05' no. 1 (Japan)	manual, 2026-08-31
