#media	system	key	reason
mixrbv2	Arcade	batlgear	unusable mix
mixrbv2	Arcade	batlgr2	unusable mix
mixrbv2	Arcade	catapult	unusable mix
mixrbv2	Arcade	code1d	unusable mix
mixrbv2	Arcade	cops	unusable mix
mixrbv2	Arcade	ghostsqu	unusable mix
mixrbv2	Arcade	gtrfrk3m	unusable mix
mixrbv2	Arcade	gtrfrk4m	unusable mix
mixrbv2	Arcade	gtrfrk5m	unusable mix
mixrbv2	Arcade	gtrfrk6m	unusable mix
mixrbv2	Arcade	gtrfrk7m	unusable mix
mixrbv2	Arcade	gtrfrk8m	unusable mix
mixrbv2	Arcade	gtrfrk9m	unusable mix
mixrbv2	Arcade	gundamos	unusable mix
mixrbv2	Arcade	gunmania	unusable mix
mixrbv2	Arcade	jpark3	unusable mix
mixrbv2	Arcade	kaiunqz	unusable mix
mixrbv2	Arcade	kungfu	unusable mix
mixrbv2	Arcade	landhigh	unusable mix
mixrbv2	Arcade	lgp	unusable mix
mixrbv2	Arcade	mgfx	unusable mix
mixrbv2	Arcade	mocapb	unusable mix
mixrbv2	Arcade	momotaro	unusable mix
mixrbv2	Arcade	outr2st	unusable mix
mixrbv2	Arcade	p9112	unusable mix
mixrbv2	Arcade	pcnfrk4m	unusable mix
mixrbv2	Arcade	pcnfrk5m	unusable mix
mixrbv2	Arcade	popnstex	unusable mix
mixrbv2	Arcade	racingj	unusable mix
mixrbv2	Arcade	raizpin	unusable mix
mixrbv2	Arcade	sfish2	unusable mix
mixrbv2	Arcade	shorsepr	unusable mix
mixrbv2	Arcade	spcwarp	unusable mix
mixrbv2	Arcade	thrild2	unusable mix
mixrbv2	Arcade	wangmid	unusable mix
mixrbv2	Arcade	wcat3	unusable mix
mixrbv2	Arcade	wcherry	unusable mix
mixrbv2	Arcade	yorijori	unusable mix
mixrbv2	CD-i	Big Bang Show (France) (En,Fr)	unusable mix
mixrbv2	CD-i	Do You Remember the '60s (UK)	unusable mix
mixrbv2	CD-i	Solar Crusade (Europe)	unusable mix
mixrbv2	CD-i	Voetbal (Netherlands)	unusable mix
mixrbv2	Saturn	Real Sound - Kaze no Regret (Japan) (Disc 1) (4M)	unusable mix
