#media	system	key	degrees (clockwise; -90 turns left)
box-2D	SNES	Acrobat Mission (Japan) (En)	90
box-2D	SNES	Akazukin Chacha (Japan)	90
box-2D	SNES	Ashita no Joe (Japan)	90
box-2D	SNES	Bahamut Lagoon (Japan)	90
box-2D	SNES	Bakutou Dochers - Bumps-jima wa Oosawagi (Japan)	-90
box-2D	SNES	Battle Commander - Hachibushuu, Shura no Heihou (Japan)	90
box-2D	SNES	Battle Dodge Ball (Japan)	90
box-2D	SNES	Battle Submarine (Japan)	90
box-2D	SNES	Bishoujo Senshi Sailor Moon - Another Story (Japan)	90
box-2D	SNES	Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan)	-90
box-2D	SNES	Bomberman B-Daman (Japan)	90
box-2D	SNES	CB Chara Wars - Ushinawareta Gag (Japan)	90
box-2D	SNES	Casper (Japan)	90
box-2D	SNES	Chou Mahou Tairiku WOZZ (Japan)	90
box-2D	SNES	ClockWerx (Japan)	90
box-2D	SNES	Cu-On-Pa SFC (Japan)	90
box-2D	SNES	Daisenryaku Expert (Japan)	90
box-2D	SNES	Daisenryaku Expert WWII - War in Europe (Japan)	-90
box-2D	SNES	Dark Half (Japan)	-90
box-2D	SNES	Derby Jockey - Kishu Ou e no Michi (Japan)	90
box-2D	SNES	Dream Maze - Kigurumi Daibouken (Japan)	-90
box-2D	SNES	Drift King Shutokou Battle '94 - Tsuchiya Keiichi & Bandou Masaaki (Japan)	-90
box-2D	SNES	Drift King Shutokou Battle 2 - Tsuchiya Keiichi & Bandou Masaaki (Japan)	-90
box-2D	SNES	Dun Quest - Majin Fuuin no Densetsu (Japan)	90
box-2D	SNES	Earth Light (Japan)	90
box-2D	SNES	F-1 Grand Prix (Japan)	-90
box-2D	SNES	F-1 Grand Prix - Part II (Japan)	90
box-2D	SNES	F-1 Grand Prix - Part III (Japan)	-90
box-2D	SNES	Final Fantasy IV - Easy Type (Japan)	-90
box-2D	SNES	Final Fantasy V (Japan)	90
box-2D	SNES	Final Stretch (Japan)	-90
box-2D	SNES	Fire Emblem - Thracia 776 (Japan)	-90
box-2D	SNES	From TV Animation Slam Dunk - Shuueisha Limited (Japan)	-90
box-2D	SNES	Front Mission (Japan)	90
box-2D	SNES	Front Mission Series - Gun Hazard (Japan)	90
box-2D	SNES	GT Racing (Japan)	-90
box-2D	SNES	Gakkou de Atta Kowai Hanashi (Japan)	-90
box-2D	SNES	Galaxy Robo (Japan)	-90
box-2D	SNES	Gekitou Burning Pro Wres (Japan)	-90
box-2D	SNES	Get in the Hole (Japan)	-90
box-2D	SNES	Go! Go! Dodge League (Japan)	-90
box-2D	SNES	Granhistoria - Genshi Sekaiki (Japan)	90
box-2D	SNES	Great Battle II, The - Last Fighter Twin (Japan)	-90
box-2D	SNES	Hameln no Violin Hiki (Japan)	90
box-2D	SNES	Harukanaru Augusta 2 - Masters (Japan)	-90
box-2D	SNES	Harukanaru Augusta 3 - Masters New (Japan)	90
box-2D	SNES	Hebereke no Oishii Puzzle wa Irimasenka (Japan)	-90
box-2D	SNES	Heracles no Eikou III - Kamigami no Chinmoku (Japan)	90
box-2D	SNES	Heracles no Eikou IV - Kamigami kara no Okurimono (Japan)	90
box-2D	SNES	Hero Senki - Project Olympus (Japan)	-90
box-2D	SNES	Hi no Ouji - Yamato Takeru (Japan)	90
box-2D	SNES	Hokuto no Ken 5 - Tenma Ryuuseiden Ai Zetsu Shou (Japan)	90
box-2D	SNES	Honoo no Toukyuuji - Dodge Danpei (Japan)	90
box-2D	SNES	Hourai Gakuen no Bouken! - Tenkousei Scramble (Japan)	-90
box-2D	SNES	Isozuri - Ritou Hen (Japan)	-90
box-2D	SNES	Itadaki Street 2 - Neon Sign ha Barairo Ni (Japan)	90
box-2D	SNES	Jammes (Japan)	90
box-2D	SNES	Jelly Boy 2 (Japan) (Proto)	-90
box-2D	SNES	Jissen Kyoutei (Japan)	90
box-2D	SNES	Kat's Run - Zen-Nihon K-Car Senshuken (Japan)	90
box-2D	SNES	Kawa no Nushi Tsuri 2 (Japan)	90
box-2D	SNES	Kero Kero Keroppi no Bouken Nikki - Nemureru Mori no Keroleen (Japan)	90
box-2D	SNES	King of Rally, The - Paris-Moscow-Beijing (Japan)	90
box-2D	SNES	Koutetsu no Kishi (Japan)	90
box-2D	SNES	Koutetsu no Kishi 2 - Sabaku no Rommel Gundan (Japan)	90
box-2D	SNES	Koutetsu no Kishi 3 - Gekitotsu Europe Sensen (Japan)	90
box-2D	SNES	Leading Jockey (Japan)	90
box-2D	SNES	Leading Jockey 2 (Japan)	90
box-2D	SNES	Live A Live (Japan)	90
box-2D	SNES	Lode Runner Twin - Justy to Liberty no Daibouken (Japan)	-90
box-2D	SNES	Mahjong Touhaiden, The (Japan)	-90
box-2D	SNES	Maka Maka (Japan)	-90
box-2D	SNES	Matsukata Hiroki no Super Trolling (Japan)	-90
box-2D	SNES	Mini Yonku Shining Scorpion - Let's & Go!! (Japan)	-90
box-2D	SNES	Monopoly Game 2, The (Japan)	-90
box-2D	SNES	Monstania (Japan)	-90
box-2D	SNES	Monster Maker Kids - Ousama ni Naritai (Japan)	-90
box-2D	SNES	Mouryou Senki Madara 2 (Japan)	-90
box-2D	SNES	Mujintou Monogatari (Japan)	-90
box-2D	SNES	Naruhodo! The World (Japan)	-90
box-2D	SNES	Nice de Shot (Japan)	-90
box-2D	SNES	Nichibutsu Arcade Classics (Japan)	-90
box-2D	SNES	Nichibutsu Arcade Classics 2 - Heiankyou Alien (Japan)	-90
box-2D	SNES	Numbers Paradise (Japan)	-90
box-2D	SNES	Oraga Land Shusai - Best Farmer Shuukakusai (Japan)	-90
box-2D	SNES	Pachinko Challenger (Japan)	-90
box-2D	SNES	Parlor! Parlor! IV CR (Japan)	-90
box-2D	SNES	Pebble Beach no Hatou New - Tournament Edition (Japan)	-90
box-2D	SNES	Power of the Hired (Japan)	-90
box-2D	SNES	Psycho Dream (Japan)	-90
box-2D	SNES	Puzzle'n Desu! (Japan)	-90
box-2D	SNES	Rendering Ranger R2 (USA) (Limited Run Games)	-90
box-2D	SNES	Romancing Sa-Ga (Japan)	90
